piece,long,lat
1,113.39027249,-26.39327507
1,113.35466195,-26.30085299
1,113.33638189,-26.30035296
1,113.36460083,-26.21072196
1,113.38650109,-26.21265201
1,113.3872999,-26.11147095
1,113.35869901,-26.06509097
1,113.36373901,-26.01747998
1,113.39672003,-26.11395099
1,113.42917008,-26.13855096
1,113.42441987,-26.161001
1,113.44467997,-26.163261
1,113.44831091,-26.21255201
1,113.49881206,-26.33605298
1,113.48780182,-26.35704297
1,113.50659203,-26.36391304
1,113.50223206,-26.40023298
1,113.4964519,-26.37813303
1,113.48468208,-26.38355301
1,113.50225296,-26.42031297
1,113.48533296,-26.43058404
1,113.47696294,-26.47705401
1,113.48649286,-26.48483398
1,113.50329299,-26.46881398
1,113.50600307,-26.40914299
1,113.52827197,-26.36221204
1,113.51596211,-26.32206204
1,113.49391213,-26.31034198
1,113.51369197,-26.30210202
1,113.51154096,-26.276831
1,113.5372111,-26.27952003
1,113.56707203,-26.43334298
1,113.55232285,-26.46911295
1,113.57719414,-26.50462298
1,113.55822502,-26.574004
1,113.59808605,-26.61419402
1,113.60710512,-26.606204
1,113.58823501,-26.58558402
1,113.59339414,-26.51193296
1,113.60982384,-26.51473296
1,113.61408406,-26.48942298
1,113.62153501,-26.53873299
1,113.63055299,-26.46327204
1,113.62561488,-26.57121299
1,113.64202582,-26.61945398
1,113.66369494,-26.59619304
1,113.66400886,-26.67445596
1,113.68092816,-26.65841498
1,113.70491782,-26.66208501
1,113.68893709,-26.64903402
1,113.69995702,-26.63931403
1,113.68639693,-26.63787402
1,113.68680589,-26.60167297
1,113.73844608,-26.61758298
1,113.76935712,-26.58728196
1,113.80771693,-26.61097203
1,113.81236595,-26.576002
1,113.88286403,-26.50847004
1,113.88738384,-26.44970004
1,113.870232,-26.39133999
1,113.88544198,-26.37144899
1,113.88066083,-26.33537799
1,113.79774995,-26.25226902
1,113.68805005,-26.217539
1,113.68747907,-26.18618903
1,113.62080886,-26.10089902
1,113.58029987,-26.097219
1,113.55910813,-25.94639799
1,113.51761702,-25.91957798
1,113.52530701,-25.88417703
1,113.51291686,-25.85211696
1,113.461056,-25.80935696
1,113.478696,-25.78333697
1,113.46052499,-25.73376596
1,113.47324486,-25.73052597
1,113.45946515,-25.71560596
1,113.47243488,-25.70931603
1,113.44466483,-25.70947596
1,113.45685517,-25.713116
1,113.44962493,-25.75641699
1,113.46433488,-25.75114596
1,113.45420483,-25.76488698
1,113.46934608,-25.78545702
1,113.41447488,-25.72473698
1,113.4319831,-25.62572502
1,113.51108195,-25.50330297
1,113.52523283,-25.60779404
1,113.55863398,-25.63550505
1,113.58131398,-25.62077403
1,113.6066551,-25.71432498
1,113.69111616000001,-25.78921498
1,113.72176582,-25.79364504
1,113.72171686,-25.86808603
1,113.76185686,-25.87859505
1,113.73163811,-25.94952602
1,113.73432694,-26.01365796
1,113.6999239,-26.04496203
1,113.70111805,-26.13191003
1,113.72825917,-26.18723898
1,113.70320998,-26.19976896
1,113.74232003,-26.20683899
1,113.75351891,-26.18504901
1,113.77398995,-26.21488904
1,113.81327891,-26.17881804
1,113.83519894,-26.11560698
1,113.84556912,-26.11365704
1,113.83764912,-26.13865698
1,113.88373811,-26.06021604
1,113.86524707,-25.95596499
1,113.87721709,-25.94512502
1,113.90641702,-25.96011498
1,113.91442704,-25.98243497
1,113.89351789,-26.035146
1,113.90845789,-26.05449601
1,113.91084899,-26.12237598
1,113.94755891,-26.14300596
1,113.93430982,-26.20394703
1,113.95951091,-26.24422697
1,113.95048102,-26.26759701
1,113.97286189,-26.34250698
1,114.05386189,-26.41921696
1,114.08256214,-26.454547
1,114.07679206,-26.466587
1,114.16635216,-26.390016
1,114.21028189,-26.37205596
1,114.23765088,-26.31276503
1,114.2379799,-26.28390501
1,114.20403011,-26.244794980000002
1,114.18828982,-26.18026298
1,114.22350899,-26.11902204
1,114.22534896,-26.165043
1,114.25470912,-26.144892
1,114.23601901,-26.11778203
1,114.23927808,-26.072702
1,114.19466688,-25.98357096
1,114.21844704,-25.96889097
1,114.22360691,-25.987401
1,114.26530717,-25.98213096
1,114.24703606,-25.93650104
1,114.26683501,-25.88774004
1,114.20539488,-25.85302002
1,114.13448387,-25.77809898
1,114.14630413,-25.78016898
1,114.11940384,-25.75525599
1,114.11955504,-25.72818498
1,114.03538883,-25.66252504
1,114.04842694,-25.66732401
1,114.00418294,-25.61851899
1,114.01535987,-25.620488
1,113.99018902,-25.58991995
1,113.98219091,-25.56082898
1,113.99166,-25.57513997
1,113.99163984,-25.56487998
1,113.93400995,-25.47548802
1,113.94842112,-25.47716797
1,113.94417888,-25.45867799
1,113.90204989,-25.41008798
1,113.91383987,-25.40094804
1,113.89110912,-25.37298801
1,113.89133917,-25.33700701
1,113.84257789,-25.26459695
1,113.81706685,-25.173566
1,113.71242598,-25.10331597
1,113.66598493,-25.02270603
1,113.66423389,-24.958656
1,113.691924,-24.92853498
