POA_CODE,Score,Decile,Score,Decile,Score,Decile,Score,Decile,Pop
0800,1072,9,1060,9,952,3,1077,9,4564
0810,1037,8,1027,7,1008,6,1051,8,29725
0812,1019,7,1013,6,1015,7,1007,7,19334
0820,1076,9,1067,9,1008,6,1081,9,19057
0822,702,1,630,1,645,1,882,1,24120
0828,972,5,970,4,958,3,973,5,1699
0829,948,3,974,4,929,2,972,5,1138
0830,996,6,991,5,991,5,966,5,17990
0832,1076,9,1069,9,1060,9,1013,7,9671
0835,1054,9,1054,9,1087,10,991,6,5194
0836,1041,8,1035,8,1088,10,968,5,7092
0837,987,6,990,5,1023,7,949,4,527
0838,994,6,995,5,1024,7,984,6,735
0840,847,1,862,1,915,1,903,2,555
0841,949,4,963,4,1003,6,895,1,693
0845,860,1,841,1,824,1,989,6,338
0846,875,1,887,1,902,1,923,3,235
0847,829,1,826,1,817,1,898,1,381
0850,941,3,937,2,915,1,981,6,7582
0852,689,1,623,1,656,1,867,1,7968
0853,1094,10,1144,10,1031,8,1017,7,743
0854,690,1,641,1,633,1,857,1,919
0860,866,1,848,1,830,1,988,6,3060
0862,791,1,764,1,764,1,898,1,696
0870,1010,7,1006,6,988,5,1025,8,25181
0872,673,1,592,1,628,1,899,2,12344
0880,916,2,903,1,862,1,981,6,5951
0885,1058,9,1085,10,990,5,1018,7,980
0886,987,6,1004,6,919,1,1015,7,1126
2000,1018,7,973,4,806,1,1146,10,22761
2007,1016,7,974,4,801,1,1154,10,7113
2008,1056,9,1025,7,852,1,1171,10,6299
2009,1084,9,1055,9,933,2,1172,10,11625
2010,1070,9,1043,8,905,1,1167,10,25402
2011,1053,9,1035,8,884,1,1166,10,18045
2015,1109,10,1087,10,1004,6,1168,10,8431
2016,1012,7,973,4,891,1,1104,9,12038
2017,986,5,941,3,837,1,1107,9,14472
2018,977,5,965,4,943,2,1018,7,15397
2019,1033,8,1026,7,1026,7,1025,8,8928
2020,1021,7,1013,6,994,5,1022,7,10178
2021,1119,10,1099,10,999,6,1196,10,14258
2022,1083,9,1061,9,978,4,1150,10,11586
2023,1145,10,1118,10,1074,9,1194,10,10768
2024,1108,10,1086,10,1032,8,1162,10,11088
2025,1124,10,1100,10,1028,7,1200,10,7173
2026,1098,10,1077,9,980,4,1161,10,30427
2027,1118,10,1102,10,1004,6,1197,10,7316
2028,1120,10,1100,10,1006,6,1189,10,4682
2029,1111,10,1091,10,1026,7,1169,10,9392
2030,1144,10,1117,10,1101,10,1179,10,13893
2031,1099,10,1079,10,998,6,1158,10,32331
2032,1020,7,992,5,901,1,1114,10,15266
2033,1074,9,1052,8,953,3,1149,10,10970
2034,1086,10,1066,9,986,5,1143,10,19101
2035,1044,8,1024,7,984,4,1087,9,33222
2036,1002,6,993,5,986,5,1010,7,26903
2037,1031,8,1001,6,900,1,1149,10,13834
2038,1108,10,1087,10,1022,7,1175,10,8665
2039,1134,10,1108,10,1055,9,1190,10,7924
2040,1083,9,1056,9,1013,6,1146,10,20862
2041,1118,10,1091,10,1033,8,1188,10,14747
2042,1085,10,1065,9,950,2,1169,10,17727
2043,1115,10,1090,10,991,5,1191,10,6848
2044,1045,8,1022,7,997,5,1083,9,7189
2045,1073,9,1056,9,1062,9,1093,9,6651
2046,1076,9,1056,9,1030,7,1108,9,25180
2047,1115,10,1093,10,1043,8,1156,10,11374
2048,1093,10,1074,9,998,5,1160,10,7699
2049,1060,9,1042,8,978,4,1129,10,10449
2050,1108,10,1086,10,959,3,1209,10,6705
2060,1120,10,1103,10,981,4,1206,10,12266
2061,1108,10,1080,10,953,3,1213,10,5683
2062,1123,10,1102,10,1029,7,1185,10,6778
2063,1156,10,1124,10,1122,10,1191,10,5928
2064,1095,10,1071,9,996,5,1164,10,8626
2065,1130,10,1108,10,1021,7,1196,10,27165
2066,1128,10,1105,10,1072,9,1170,10,27635
2067,1081,9,1052,8,987,5,1154,10,22633
2068,1129,10,1100,10,1093,10,1161,10,15903
2069,1153,10,1123,10,1128,10,1178,10,13298
2070,1150,10,1119,10,1113,10,1179,10,12277
2071,1144,10,1110,10,1106,10,1181,10,12151
2072,1135,10,1101,10,1093,10,1175,10,6598
2073,1160,10,1125,10,1139,10,1182,10,15737
2074,1152,10,1120,10,1125,10,1172,10,20930
2075,1164,10,1127,10,1146,10,1175,10,18635
2076,1137,10,1105,10,1115,10,1161,10,23770
2077,1062,9,1050,8,1010,6,1102,9,34909
2079,1110,10,1097,10,1118,10,1087,9,7113
2080,1096,10,1086,10,1098,10,1081,9,1575
2081,1119,10,1104,10,1129,10,1089,9,5163
2082,1103,10,1095,10,1115,10,1080,9,5649
2083,1045,8,1046,8,1030,7,1061,9,1549
2084,1124,10,1101,10,1137,10,1096,9,3531
2085,1136,10,1108,10,1146,10,1110,10,10705
2086,1140,10,1114,10,1147,10,1116,10,13183
2087,1119,10,1097,10,1107,10,1126,10,12311
2088,1138,10,1111,10,1065,9,1194,10,27462
2089,1126,10,1107,10,1002,6,1198,10,11090
2090,1135,10,1113,10,1029,7,1201,10,13040
2092,1147,10,1110,10,1132,10,1162,10,6726
2093,1116,10,1094,10,1083,10,1140,10,21610
2094,1125,10,1105,10,1057,9,1170,10,5491
2095,1109,10,1086,10,993,5,1175,10,15066
2096,1111,10,1095,10,1058,9,1129,10,13881
2097,1111,10,1096,10,1099,10,1088,9,14391
2099,1056,9,1044,8,1031,8,1059,9,36707
2100,1092,10,1072,9,1097,10,1078,9,19453
2101,1082,9,1069,9,1071,9,1068,9,17993
2102,1117,10,1092,10,1135,10,1087,9,6135
2103,1093,10,1080,10,1080,10,1076,9,10175
2104,1115,10,1094,10,1093,10,1133,10,3089
2105,1138,10,1109,10,1116,10,1166,10,1841
2106,1114,10,1095,10,1094,10,1118,10,9030
2107,1127,10,1104,10,1122,10,1130,10,14479
2108,1117,10,1095,10,1074,9,1164,10,1900
2109,933,3,926,2,807,1,1110,10,1788
2110,1131,10,1100,10,1091,10,1173,10,9806
2111,1088,10,1066,9,1042,8,1124,10,13430
2112,1067,9,1053,8,1032,8,1087,9,27782
2113,1072,9,1056,9,1018,7,1105,9,16810
2114,1065,9,1054,9,1003,6,1109,9,21484
2115,1000,6,983,5,989,5,1020,7,9479
2116,1005,6,996,5,983,4,1031,8,6221
2117,1036,8,1019,7,1006,6,1066,9,19025
2118,1084,10,1065,9,1059,9,1106,9,21556
2119,1157,10,1128,10,1138,10,1168,10,10898
2120,1121,10,1098,10,1101,10,1139,10,19628
2121,1111,10,1090,10,1052,8,1151,10,24646
2122,1063,9,1040,8,990,5,1128,10,28516
2125,1154,10,1119,10,1146,10,1144,10,15953
2126,1143,10,1112,10,1135,10,1139,10,18805
2127,1132,10,1108,10,1061,9,1171,10,8149
2128,993,6,974,4,954,3,1044,8,3171
2130,1061,9,1048,8,968,3,1139,10,6588
2131,1009,7,993,5,921,1,1083,9,22183
2132,1044,8,1024,7,1010,6,1091,9,10387
2133,1015,7,1005,6,996,5,1042,8,10722
2134,1008,7,972,4,903,1,1097,9,12475
2135,1066,9,1034,8,990,5,1124,10,23100
2136,1038,8,1025,7,1012,6,1056,9,6734
2137,1084,10,1068,9,1048,8,1101,9,24008
2138,1090,10,1072,9,1009,6,1141,10,13521
2140,1019,7,1006,6,936,2,1085,9,12528
2141,959,4,935,2,949,2,1001,7,25496
2142,915,2,897,1,892,1,980,6,22514
2143,920,2,900,1,920,1,970,5,7457
2144,888,1,855,1,888,1,958,5,33109
2145,1005,6,1002,6,986,5,1016,7,71314
2146,1017,7,1022,7,1009,6,1007,7,15675
2147,997,6,996,5,1001,6,986,6,35085
2148,961,4,966,4,967,3,952,4,58645
2150,990,6,982,5,882,1,1068,9,24845
2151,1048,8,1037,8,1004,6,1085,9,20222
2152,1047,8,1040,8,1011,6,1067,9,10224
2153,1111,10,1095,10,1109,10,1089,9,52436
2154,1131,10,1101,10,1121,10,1124,10,37906
2155,1150,10,1109,10,1177,10,1092,9,44018
2156,1143,10,1113,10,1153,10,1100,9,12345
2157,1085,10,1068,9,1111,10,1047,8,3706
2158,1117,10,1088,10,1125,10,1094,9,8277
2159,1113,10,1095,10,1127,10,1087,9,4538
2160,927,2,914,2,924,2,969,5,32880
2161,894,1,874,1,911,1,941,4,28263
2162,902,2,887,1,922,1,931,3,17015
2163,790,1,753,1,814,1,872,1,8773
2164,924,2,911,2,967,3,920,2,18387
2165,853,1,819,1,899,1,904,2,39493
2166,815,1,765,1,875,1,878,1,49726
2167,1001,6,1004,6,1004,6,990,6,7547
2168,886,1,863,1,938,2,893,1,41870
2170,949,4,933,2,974,4,955,4,95108
2171,1058,9,1034,8,1115,10,993,6,24387
2172,1143,10,1118,10,1161,10,1085,9,2265
2173,1086,10,1088,10,1082,10,1044,8,13258
2174,945,3,933,2,965,3,912,2,423
2175,1007,7,997,6,1072,9,949,4,1935
2176,973,5,952,3,1026,7,956,4,46068
2177,908,2,869,1,970,4,924,3,15203
2178,1043,8,1028,7,1092,10,976,5,4819
2179,969,5,961,4,1017,7,930,3,5410
2190,919,2,900,1,946,2,964,5,24717
2191,981,5,968,4,986,5,1003,7,6035
2192,918,2,903,1,919,1,962,5,12567
2193,1014,7,1002,6,999,6,1047,8,13981
2194,917,2,895,1,887,1,984,6,21239
2195,872,1,860,1,858,1,947,4,25204
2196,917,2,900,1,941,2,953,4,29581
2197,937,3,924,2,960,3,950,4,8180
2198,1012,7,1010,6,1041,8,975,5,8672
2199,911,2,896,1,938,2,938,3,16019
2200,906,2,883,1,912,1,962,5,40589
2203,1033,8,1015,7,969,3,1104,9,12964
2204,998,6,972,4,948,2,1071,9,24586
2205,990,6,970,4,971,4,1023,8,12847
2206,1023,7,1008,6,1033,8,1032,8,18316
2207,1011,7,1001,6,1010,6,1024,8,27529
2208,1005,6,994,5,1008,6,1010,7,11521
2209,993,6,983,5,979,4,1017,7,14585
2210,992,6,976,4,990,5,1006,7,27994
2211,1015,7,1011,6,1013,7,1007,7,16193
2212,992,6,986,5,994,5,989,6,14304
2213,1033,8,1028,7,1036,8,1010,7,20355
2214,1061,9,1065,9,1095,10,983,6,3854
2216,989,6,978,4,949,2,1023,8,26045
2217,1017,7,1009,6,975,4,1046,8,23611
2218,1004,6,994,5,970,3,1036,8,15166
2219,1031,8,1025,7,1015,7,1032,8,12421
2220,998,6,976,4,943,2,1050,8,28438
2221,1075,9,1057,9,1067,9,1083,9,15783
2222,1017,7,1013,6,982,4,1040,8,11692
2223,1070,9,1064,9,1040,8,1076,9,19799
2224,1072,9,1060,9,1067,9,1052,8,13443
2225,1123,10,1100,10,1128,10,1091,9,5429
2226,1094,10,1079,10,1084,10,1084,9,11875
2227,1095,10,1085,10,1082,10,1072,9,14031
2228,1041,8,1038,8,1020,7,1034,8,17592
2229,1079,9,1070,9,1065,9,1059,9,27264
2230,1078,9,1072,9,1038,8,1079,9,26946
2231,1029,8,1031,7,1076,9,947,4,2215
2232,1068,9,1063,9,1051,8,1057,9,31247
2233,1087,10,1088,10,1105,10,1026,8,29314
2234,1119,10,1099,10,1135,10,1066,9,30812
2250,1000,6,1005,6,1001,6,997,7,65647
2251,1032,8,1035,8,1043,8,1020,7,31835
2256,939,3,949,3,940,2,943,4,14970
2257,953,4,964,4,959,3,949,4,27654
2258,1034,8,1034,8,1044,8,1016,7,5102
2259,963,4,971,4,1003,6,923,2,53981
2260,1069,9,1063,9,1062,9,1060,9,21793
2261,947,3,957,3,965,3,932,3,50965
2262,910,2,927,2,959,3,874,1,20155
2263,891,1,902,1,922,1,880,1,22414
2264,969,5,978,4,988,5,957,5,13135
2265,992,6,990,5,1005,6,1007,7,5382
2267,983,5,996,5,992,5,982,6,2673
2278,981,5,1006,6,1053,9,878,1,2676
2280,998,6,1006,6,1012,6,968,5,26615
2281,960,4,973,4,983,4,927,3,13403
2282,1050,8,1055,9,1053,8,1023,8,14451
2283,965,4,971,4,982,4,954,4,23087
2284,942,3,958,3,967,3,917,2,10450
2285,990,6,1005,6,1023,7,936,3,27815
2286,934,3,958,3,990,5,879,1,3443
2287,987,6,996,5,1003,6,965,5,33260
2289,1042,8,1050,8,1025,7,1041,8,18825
2290,1000,6,1011,6,1004,6,985,6,32159
2291,1075,9,1065,9,1026,7,1107,9,13413
2292,972,5,982,5,940,2,1002,7,2434
2293,1004,6,1009,6,944,2,1063,9,2126
2294,953,4,953,3,900,1,1026,8,1879
2295,939,3,944,3,961,3,931,3,5818
2296,969,5,967,4,894,1,1043,8,1807
2297,966,4,973,4,929,2,1047,8,1620
2298,947,3,949,3,910,1,996,6,9443
2299,964,4,961,4,918,1,1015,7,10686
2300,1053,9,1042,8,940,2,1132,10,10097
2302,995,6,978,5,874,1,1106,9,590
2303,976,5,961,4,928,2,1032,8,9015
2304,944,3,951,3,921,1,972,5,14987
2305,1038,8,1043,8,1013,6,1057,9,11926
2306,689,1,663,1,713,1,749,1,3100
2307,930,3,950,3,936,2,920,2,3708
2311,972,5,985,5,1019,7,967,5,838
2312,921,2,935,2,979,4,901,2,1515
2315,987,6,997,6,985,4,984,6,13356
2316,983,5,994,5,1008,6,951,4,5517
2317,974,5,989,5,983,4,962,5,6174
2318,1025,7,1034,8,1059,9,961,5,11403
2319,933,3,949,3,966,3,902,2,6310
2320,997,6,1001,6,1027,7,951,4,29285
2321,1020,7,1029,7,1067,9,953,4,10912
2322,955,4,970,4,1006,6,889,1,16653
2323,980,5,988,5,993,5,962,5,24737
2324,929,3,938,2,964,3,905,2,22531
2325,915,2,927,2,962,3,881,1,26205
2326,887,1,902,1,957,3,834,1,7165
2327,875,1,896,1,920,1,839,1,7366
2328,971,5,987,5,1012,6,906,2,2544
2329,935,3,946,3,968,3,935,3,2141
2330,1001,6,1008,6,1041,8,919,2,20494
2333,957,4,965,4,990,5,891,1,13245
2334,941,3,962,4,1002,6,857,1,2479
2335,1015,7,1026,7,1067,9,934,3,5422
2336,957,4,982,5,1016,7,872,1,2337
2337,985,5,996,5,1016,7,939,4,7752
2338,938,3,957,3,963,3,928,3,1539
2339,949,4,958,3,992,5,945,4,666
2340,954,4,964,4,974,4,938,3,45740
2341,845,1,856,1,908,1,832,1,1736
2342,1016,7,1021,7,1032,8,1023,8,558
2343,926,2,934,2,964,3,920,2,4531
2344,1037,8,1054,8,1079,10,982,6,736
2345,978,5,995,5,1044,8,933,3,766
2346,868,1,872,1,915,1,891,1,2816
2347,895,1,901,1,929,2,918,2,1879
2350,989,6,991,5,960,3,1036,8,24494
2352,948,3,966,4,1001,6,917,2,2809
2353,965,4,989,5,1029,7,910,2,993
2354,969,5,976,4,993,5,990,6,3527
2355,951,4,956,3,972,4,950,4,766
2357,922,2,926,2,941,2,957,4,4359
2358,963,4,975,4,988,5,977,6,4047
2359,886,1,882,1,941,2,907,2,601
2360,917,2,928,2,947,2,919,2,14493
2361,837,1,824,1,918,1,888,1,881
2365,959,4,976,4,992,5,956,4,3411
2369,822,1,813,1,898,1,860,1,1166
2370,912,2,920,2,940,2,930,3,7564
2371,887,1,898,1,931,2,907,2,742
2372,922,2,931,2,952,3,944,4,4968
2380,936,3,948,3,966,3,913,2,10152
2381,933,3,935,2,981,4,957,4,1745
2382,888,1,895,1,950,2,872,1,1191
2386,982,5,993,5,1014,7,991,6,301
2388,924,2,932,2,946,2,930,3,3091
2390,950,4,967,4,974,4,931,3,8254
2395,823,1,805,1,880,1,893,1,779
2396,887,1,888,1,933,2,930,3,1168
2397,1009,7,1016,7,1019,7,1025,8,408
2399,973,5,982,5,1009,6,981,6,875
2400,925,2,927,2,934,2,924,3,10204
2401,961,4,960,4,1006,6,990,6,323
2402,924,2,928,2,957,3,949,4,1917
2403,903,2,907,2,979,4,900,2,555
2404,906,2,919,2,950,2,928,3,1784
2405,1007,7,1003,6,1014,7,1034,8,549
2406,938,3,938,2,953,3,997,7,742
2408,1023,7,1024,7,1015,7,1034,8,421
2409,757,1,710,1,775,1,844,1,1140
2410,923,2,932,2,990,5,944,4,350
2415,945,3,956,3,981,4,947,4,281
2420,951,4,960,3,985,4,952,4,4067
2421,1039,8,1043,8,1071,9,999,7,1520
2422,935,3,948,3,971,4,933,3,5211
2423,907,2,920,2,962,3,898,2,3234
2424,888,1,878,1,924,2,945,4,552
2425,943,3,961,4,998,6,906,2,1616
2426,889,1,905,2,940,2,868,1,519
2427,882,1,889,1,926,2,896,1,2478
2428,912,2,924,2,940,2,916,2,22698
2429,913,2,926,2,961,3,908,2,9241
2430,907,2,913,2,938,2,910,2,32584
2431,921,2,938,2,958,3,923,3,4953
2439,957,4,976,4,1004,6,934,3,2451
2440,863,1,865,1,914,1,880,1,21370
2441,957,4,963,4,1000,6,947,4,6292
2443,900,2,918,2,933,2,898,1,8848
2444,965,4,975,4,970,3,968,5,42636
2445,995,6,1009,6,1021,7,973,5,5869
2446,945,3,956,3,990,5,924,3,12519
2447,908,2,922,2,947,2,905,2,6793
2448,886,1,893,1,905,1,911,2,8713
2449,857,1,857,1,914,1,901,2,2328
2450,955,4,961,4,957,3,960,5,38289
2452,928,2,941,3,941,2,924,3,15019
2453,936,3,942,3,956,3,982,6,2701
2454,955,4,959,3,960,3,1010,7,7367
2455,910,2,926,2,936,2,914,2,3018
2456,948,3,957,3,974,4,947,4,13596
2460,900,2,910,2,943,2,893,1,28571
2462,884,1,892,1,930,2,897,1,2510
2463,927,2,945,3,971,4,910,2,7158
2464,938,3,956,3,946,2,946,4,6692
2465,925,2,935,2,950,2,930,3,355
2466,852,1,868,1,907,1,862,1,1699
2469,878,1,881,1,923,2,927,3,4257
2470,883,1,895,1,940,2,861,1,14557
2471,903,2,915,2,960,3,906,2,2582
2472,908,2,930,2,952,3,900,2,1735
2473,894,1,903,1,910,1,920,2,2973
2474,915,2,926,2,947,2,938,3,6390
2475,893,1,904,2,945,2,923,3,444
2476,848,1,831,1,886,1,917,2,1014
2477,989,6,1000,6,1000,6,990,6,11228
2478,974,5,981,5,977,4,979,6,26770
2479,1028,8,1027,7,1025,7,1067,9,4550
2480,948,3,954,3,952,3,971,5,44398
2481,1000,6,993,5,968,3,1052,8,10708
2482,947,3,946,3,948,2,1013,7,5750
2483,951,4,954,3,960,3,983,6,10036
2484,935,3,945,3,961,3,946,4,18073
2485,905,2,916,2,910,1,910,2,13362
2486,956,4,969,4,985,4,923,3,30607
2487,982,5,983,5,977,4,993,6,11197
2488,953,4,963,4,960,3,953,4,3111
2489,981,5,991,5,1005,6,964,5,6316
2490,985,5,995,5,1019,7,946,4,687
2500,995,6,982,5,914,1,1070,9,37029
2502,838,1,826,1,883,1,844,1,11715
2505,881,1,872,1,901,1,887,1,4902
2506,880,1,883,1,915,1,862,1,7434
2508,1080,9,1076,9,1096,10,1043,8,8652
2515,1080,9,1074,9,1059,9,1105,9,10388
2516,1032,8,1024,7,1025,7,1051,8,5678
2517,1006,7,1007,6,1003,6,1008,7,12933
2518,940,3,943,3,935,2,952,4,18646
2519,999,6,995,5,983,4,1022,7,16240
2525,1048,8,1047,8,1049,8,1041,8,10620
2526,1006,6,1006,6,1020,7,988,6,15834
2527,981,5,993,5,1023,7,916,2,20606
2528,891,1,900,1,923,1,874,1,23267
2529,1010,7,1012,6,1038,8,956,4,22309
2530,967,5,980,5,1006,6,915,2,29695
