postcode,suburb
0800,Darwin City
0810,Alawa
0810,Brinkin
0810,Casuarina (NT)
0810,Coconut Grove
0810,Jingili
0810,Lee Point
0810,Lyons (NT)
0810,Millner
0810,Moil
0810,Muirhead
0810,Nakara
0810,Nightcliff
0810,Rapid Creek
0810,Tiwi
0810,Wagaman
0810,Wanguri
0812,Anula
0812,Holmes
0812,Karama
0812,Leanyer
0812,Malak
0812,Marrara
0812,Wulagi
0820,Bayview (NT)
0820,Coonawarra (NT)
0820,East Point
0820,Eaton (NT)
0820,Fannie Bay
0820,Larrakeyah
0820,Ludmilla
0820,Parap
0820,Stuart Park
0820,The Gardens (NT)
0820,The Narrows (NT)
0820,Winnellie
0820,Woolner
0822,Acacia Hills (NT)
0822,Angurugu
0822,Anindilyakwa
0822,Bees Creek
0822,Belyuen
0822,Blackmore
0822,Daly River
0822,Douglas-Daly
0822,East Arm
0822,East Arnhem
0822,Galiwinku
0822,Gunbalanya
0822,Hidden Valley (NT)
0822,Kakadu
0822,Lambells Lagoon
0822,Livingstone
0822,Maningrida
0822,Marrakai
0822,McMinns Lagoon
0822,Milikapiti
0822,Milingimbi
0822,Milyakburra
0822,Nauiyu
0822,Nemarluk
0822,Nganmarriyanga
0822,Numbulwar
0822,Numburindi
0822,Peppimenarti
0822,Pirlangimpi
0822,Ramingining
0822,Rum Jungle
0822,Thamarrurr
0822,Tiwi Islands
0822,Wadeye
0822,Wagait Beach
0822,Warruwi
0822,West Arnhem
0822,Wickham (NT)
0822,Wurrumiyanga
0828,Berrimah
0828,Knuckey Lagoon
0829,Holtze
0829,Pinelands (NT)
0830,Driver
0830,Durack (NT)
0830,Farrar
0830,Gray (NT)
0830,Marlow Lagoon
0830,Moulden
0830,Palmerston City
0830,Shoal Bay (NT)
0830,Woodroffe
0830,Yarrawonga (NT)
0832,Bakewell
0832,Gunn
0832,Mitchell (NT)
0832,Rosebery (NT)
0835,Howard Springs
0835,Virginia (NT)
0836,Girraween (NT)
0836,Herbert
0836,Humpty Doo
0837,Noonamah
0838,Berry Springs
